experiment;total_predictions;correct_predictions;not_embedded_sentences;accuracy
AOC/en/mono/NoSpec/7/Average;217;5;9;2.3041474654377883
AOC/en2/mono/NoSpec/12/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/8/Average;217;5;9;2.3041474654377883
AOC/en2/mono/NoSpec/13/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/9/Average;217;6;9;2.7649769585253456
AOC/en2/mono/NoSpec/14/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/10/Average;217;8;9;3.686635944700461
AOC/en2/mono/NoSpec/15/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/11/Average;217;10;9;4.6082949308755765
AOC/en2/mono/NoSpec/16/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/12/Average;217;12;9;5.529953917050691
AOC/en2/mono/NoSpec/17/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/0/First;217;5;9;2.3041474654377883
ISO/en/multi/NoSpec/1/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/2/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/3/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/4/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/5/Average;217;13;9;5.990783410138248
AOC/en/multi/WithCLS/11/Unique;226;6;0;2.6548672566371683
ISO/en2/mono/NoSpec/1/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/1/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/2/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/2/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/3/Average;217;14;9;6.451612903225806
ISO/en/mono/NoSpec/3/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/4/Average;217;14;9;6.451612903225806
ISO/en/mono/NoSpec/4/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/5/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/5/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/6/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/6/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/7/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/6/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/7/Average;217;9;9;4.147465437788019
ISO/en/multi/NoSpec/7/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/8/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/8/Average;217;9;9;4.147465437788019
ISO/en/multi/NoSpec/8/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/9/Average;217;12;9;5.529953917050691
ISO/en/mono/NoSpec/9/Average;217;10;9;4.6082949308755765
ISO/en/multi/NoSpec/9/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/10/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/10/Average;217;11;9;5.0691244239631335
ISO/en/multi/NoSpec/10/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/11/Average;217;11;9;5.0691244239631335
ISO/en/mono/NoSpec/11/Average;217;28;9;12.903225806451612
ISO/en/multi/NoSpec/11/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/12/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/12/Average;217;37;9;17.050691244239633
ISO/en/multi/NoSpec/12/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/13/Average;217;15;9;6.912442396313365
AOC/en/mono/NoSpec/1/First;217;4;9;1.8433179723502304
ISO/en2/mono/NoSpec/14/Average;217;16;9;7.373271889400922
ISO/en/mono/NoSpec/0/Unique;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/2/First;217;5;9;2.3041474654377883
ISO/en/multi/NoSpec/0/Unique;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/1/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/15/Average;217;15;9;6.912442396313365
AOC/en2/mono/NoSpec/18/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/3/First;217;6;9;2.7649769585253456
ISO/en/mono/NoSpec/2/Unique;217;14;9;6.451612903225806
ISO/en/multi/NoSpec/1/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/16/Average;217;14;9;6.451612903225806
AOC/en/mono/NoSpec/4/First;217;10;9;4.6082949308755765
AOC/en2/mono/NoSpec/19/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/3/Unique;217;12;9;5.529953917050691
ISO/en/multi/NoSpec/2/Unique;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/5/First;217;14;9;6.451612903225806
ISO/en/mono/NoSpec/4/Unique;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/3/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/17/Average;217;14;9;6.451612903225806
AOC/en2/mono/NoSpec/20/Average;217;14;9;6.451612903225806
AOC/en/mono/NoSpec/0/Last;217;11;9;5.0691244239631335
ISO/en/mono/NoSpec/5/Unique;217;37;9;17.050691244239633
ISO/en/multi/NoSpec/4/Unique;217;11;9;5.0691244239631335
ISO/en2/mono/NoSpec/18/Average;217;14;9;6.451612903225806
AOC/en/mono/NoSpec/1/Last;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/21/Average;217;16;9;7.373271889400922
ISO/en/mono/NoSpec/6/Unique;217;37;9;17.050691244239633
ISO/en/multi/NoSpec/5/Unique;217;8;9;3.686635944700461
AOC/en/mono/NoSpec/2/Last;217;9;9;4.147465437788019
ISO/en/mono/NoSpec/7/Unique;217;37;9;17.050691244239633
ISO/en/multi/NoSpec/6/Unique;217;8;9;3.686635944700461
ISO/en2/mono/NoSpec/19/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/22/Average;217;17;9;7.834101382488479
AOC/en/mono/NoSpec/3/Last;217;10;9;4.6082949308755765
ISO/en/mono/NoSpec/8/Unique;217;38;9;17.51152073732719
ISO/en/multi/NoSpec/7/Unique;217;8;9;3.686635944700461
ISO/en2/mono/NoSpec/20/Average;217;12;9;5.529953917050691
AOC/en/mono/NoSpec/4/Last;217;11;9;5.0691244239631335
ISO/en/mono/NoSpec/9/Unique;217;38;9;17.51152073732719
ISO/en/multi/NoSpec/8/Unique;217;9;9;4.147465437788019
AOC/en2/mono/NoSpec/23/Average;217;17;9;7.834101382488479
AOC/en/mono/NoSpec/5/Last;217;14;9;6.451612903225806
ISO/en/mono/NoSpec/10/Unique;217;29;9;13.36405529953917
ISO/en/multi/NoSpec/9/Unique;217;9;9;4.147465437788019
ISO/en2/mono/NoSpec/21/Average;217;12;9;5.529953917050691
AOC/en2/mono/NoSpec/24/Average;217;17;9;7.834101382488479
AOC/en/mono/NoSpec/0/Unique;217;3;9;1.3824884792626728
ISO/en/mono/NoSpec/11/Unique;217;27;9;12.442396313364055
ISO/en/multi/NoSpec/10/Unique;217;11;9;5.0691244239631335
AOC/en/mono/NoSpec/1/Unique;217;7;9;3.225806451612903
ISO/en2/mono/NoSpec/22/Average;217;9;9;4.147465437788019
AOC/en2/mono/NoSpec/0/First;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/12/Unique;217;27;9;12.442396313364055
ISO/en/multi/NoSpec/11/Unique;217;8;9;3.686635944700461
AOC/en/mono/NoSpec/2/Unique;217;4;9;1.8433179723502304
AOC/en2/mono/NoSpec/1/First;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/12/Unique;217;11;9;5.0691244239631335
ISO/en/mono/All/1/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/23/Average;217;8;9;3.686635944700461
AOC/en/mono/NoSpec/3/Unique;217;4;9;1.8433179723502304
AOC/en2/mono/NoSpec/2/First;217;13;9;5.990783410138248
ISO/en/multi/All/1/Average;217;13;9;5.990783410138248
ISO/en/mono/All/2/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/4/Unique;217;4;9;1.8433179723502304
AOC/en2/mono/NoSpec/3/First;217;14;9;6.451612903225806
ISO/en2/mono/NoSpec/24/Average;217;8;9;3.686635944700461
ISO/en/multi/All/2/Average;217;13;9;5.990783410138248
ISO/en/mono/All/3/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/5/Unique;217;7;9;3.225806451612903
AOC/en2/mono/NoSpec/4/First;217;14;9;6.451612903225806
ISO/en/multi/All/3/Average;217;13;9;5.990783410138248
ISO/en/mono/All/4/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/6/Unique;217;12;9;5.529953917050691
AOC/en2/mono/NoSpec/5/First;217;13;9;5.990783410138248
ISO/en/multi/All/4/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/7/Unique;217;10;9;4.6082949308755765
ISO/en/mono/All/5/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/6/First;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/8/Unique;217;12;9;5.529953917050691
ISO/en/multi/All/5/Average;217;13;9;5.990783410138248
ISO/en/mono/All/6/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/7/First;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/0/Unique;217;15;9;6.912442396313365
AOC/en/mono/NoSpec/9/Unique;217;11;9;5.0691244239631335
ISO/en/multi/All/6/Average;217;13;9;5.990783410138248
ISO/en/mono/All/7/Average;217;9;9;4.147465437788019
AOC/en2/mono/NoSpec/8/First;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/1/Unique;217;11;9;5.0691244239631335
AOC/en/mono/NoSpec/10/Unique;217;14;9;6.451612903225806
ISO/en/multi/All/7/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/9/First;217;16;9;7.373271889400922
ISO/en/mono/All/8/Average;217;9;9;4.147465437788019
ISO/en2/mono/NoSpec/2/Unique;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/11/Unique;217;10;9;4.6082949308755765
AOC/en2/mono/NoSpec/10/First;217;17;9;7.834101382488479
ISO/en/multi/All/8/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/3/Unique;217;13;9;5.990783410138248
ISO/en/mono/All/9/Average;217;10;9;4.6082949308755765
AOC/en/mono/NoSpec/12/Unique;217;9;9;4.147465437788019
AOC/en2/mono/NoSpec/0/Last;217;15;9;6.912442396313365
ISO/en2/mono/NoSpec/4/Unique;217;11;9;5.0691244239631335
ISO/en/multi/All/9/Average;217;13;9;5.990783410138248
ISO/en/mono/All/10/Average;217;11;9;5.0691244239631335
AOC/en2/mono/NoSpec/1/Last;217;13;9;5.990783410138248
AOC/en/mono/All/1/Average;226;9;0;3.982300884955752
ISO/en2/mono/NoSpec/5/Unique;217;9;9;4.147465437788019
